iter	Passed	Remaining
0	1	179
1	3	149
2	4	158
3	6	152
4	8	162
5	10	160
6	12	160
7	14	164
8	16	165
9	18	165
10	20	166
11	22	165
12	24	163
13	26	162
14	28	162
15	30	158
16	32	157
17	33	154
18	35	152
19	38	152
20	39	149
21	41	148
22	43	146
23	45	144
24	47	142
25	49	142
26	52	140
27	53	138
28	55	136
29	57	134
30	59	132
31	61	130
32	63	128
33	65	126
34	66	123
35	68	121
36	70	119
37	72	117
38	74	115
39	76	114
40	77	111
41	78	108
42	79	105
43	80	102
44	82	100
45	84	99
46	85	96
47	87	95
48	89	93
49	91	91
50	93	89
51	94	87
52	96	85
53	98	83
54	99	81
55	101	79
56	102	77
57	104	75
58	106	73
59	107	71
60	109	70
61	111	68
62	113	66
63	114	64
64	116	62
65	118	61
66	120	59
67	122	57
68	124	55
69	126	54
70	127	52
71	129	50
72	131	48
73	132	46
74	134	44
75	136	42
76	137	41
77	138	39
78	140	37
79	141	35
80	143	33
81	144	31
82	146	30
83	148	28
84	149	26
85	151	24
86	153	22
87	154	21
88	156	19
89	159	17
90	161	15
91	163	14
92	165	12
93	167	10
94	168	8
95	170	7
96	172	5
97	173	3
98	175	1
99	177	0
